"","Date","Session","Pseudo","Treatment","TotalScore","Flight","Bonus","Mine","Fortress","Day","Zscore","Zscore_Flight","Zscore_Bonus","Zscore_Mine","Zscore_Fortress"
"result.401","2019-10-02 17:53:01","D03P2","RC1907",2,9130,-1050,1450,3230,5500,"D03",0.560176897947074,0.164084835435086,-0.0530197934242296,0.680522745361529,0.519047878383911
"result.402","2019-10-03 19:07:36","D04P1","RC1907",2,9390,-1240,1000,3380,6250,"D04",0.615939570117543,-0.00313676889372782,-0.590122630996192,0.805231712000212,0.754786858494464
"result.403","2019-10-03 19:25:29","D04P2","RC1907",2,10285,-1235,2250,3020,6250,"D04",0.807891845473582,0.00126379964124096,0.901829695592592,0.505930192067373,0.754786858494464
"result.404","2019-10-04 16:09:41","D05P1","RC1907",2,11055,-555,1950,3660,6000,"D05",0.973035143824588,0.599741120396995,0.543761137211284,1.03802178305909,0.676207198457613
"result.405","2019-10-04 16:21:07","D05P2","RC1907",2,10890,-820,2250,3210,6250,"D05",0.937647294177944,0.36651098804365,0.901829695592592,0.663894883143038,0.754786858494464
"result.406","2019-10-15 19:09:03","D14P1","RC1907",2,10335,-785,550,3320,7250,"D14",0.818615436275596,0.397314967788431,-1.12722546856815,0.755348125344739,1.06910549864187
"result.407","2019-10-15 19:19:53","D14P2","RC1907",2,12500,-720,1750,3470,8000,"D14",1.28294691800277,0.454522358743025,0.305048764957079,0.880057091983421,1.30484447875242
"result.408","2018-06-04 16:30:28","D01P1","SB2903",1,-240,-2290,-50,600,1500,"D01",-1.44942401835023,-0.927256161237172,-1.84336258533077,-1.50604113637004,-0.738226682205706
"result.409","2018-06-05 09:36:52","D02P1","SB2903",1,3310,-1050,900,1710,1750,"D02",-0.68804907140728,0.164084835435086,-0.709478817123295,-0.583194783243791,-0.659647022168855
"result.410","2018-06-05 09:36:52","D02P2","SB2903",1,5115,-485,1050,2300,2250,"D02",-0.300927443454598,0.661349079886558,-0.53044453793264,-0.0926728477983048,-0.502487702095153
"result.411","2018-06-06 09:37:25","D03P1","SB2903",1,4960,-790,800,2700,2250,"D03",-0.33417057494084,0.392914399253462,-0.828835003250397,0.239884396571516,-0.502487702095153
"result.412","2018-06-06 09:37:25","D03P2","SB2903",1,6125,-735,800,3060,3000,"D03",-0.0843109092539285,0.441320653138119,-0.828835003250397,0.539185916504355,-0.2667487219846
